Instancia;Repositorio;Distancia;BKS;GAPBKS;TiempoEjecución
A280;NearestNeighbour;3200;2579;24.079100426521908;0.035484566000377527
A280;GeneticAlgorithm;13407.155152203008;2579;419.8586720512992;118.94899121800063
A280;TabuSearch;20094.27660369096;2579;679.14992647115;79.66467607899995
A280;AntSystem1;3379.2982776126355;2579;31.031340737209597;12.676610686999993
A280;AntSystem2;3235.0451985632035;2579;25.437968149019135;12.75266996099981
A280;AntSystem3;3810.4875102888286;2579;47.750582019729684;12.723661622999316
A280;2-OPT;3810.4875102888286;2579;11.593640946103141;0.03170730599958915
A280;SimulatedAnnealing;3810.4875102888286;2579;24.079100426521908;2.4875442570000814
A280;GSPH_FC;2860;2579;10.895696006203954;1.9935303219999696
BERLIN52;NearestNeighbour;9192;7542;21.877486077963404;0.0003451109996603918
BERLIN52;GeneticAlgorithm;9103.138460554765;7542;20.699263597915202;6.4356664249999085
BERLIN52;TabuSearch;8455.14622181008;7542;12.107481063512072;0.48899000300025364
BERLIN52;AntSystem1;8267.160338883725;7542;9.6149607383151;0.22018066099917633
BERLIN52;AntSystem2;8139.5706105064755;7542;7.923238007245764;0.22956975600027363
BERLIN52;AntSystem3;8604.695084185409;7542;14.0903617632645;0.23081027999978687
BERLIN52;2-OPT;8604.695084185409;7542;3.699284009546539;0.0005201820004003821
BERLIN52;SimulatedAnnealing;8604.695084185409;7542;7.915672235481305;0.5396130279996214
BERLIN52;GSPH_FC;7674;7542;1.7501988862370723;0.019567440999708197
BIER127;NearestNeighbour;150126;118282;26.922101418643578;0.0036912700006723753
BIER127;GeneticAlgorithm;218913.4151671843;118282;85.07753941190063;27.471208560000377
BIER127;TabuSearch;293470.0475027683;118282;148.11048807322186;7.034463922000214
BIER127;AntSystem1;131389.92544234527;118282;11.08192746347311;1.660770386999502
BIER127;AntSystem2;136338.47680013816;118282;15.265616746536379;1.7021306990000085
BIER127;AntSystem3;146588.99235850963;118282;23.9317836682755;1.6617286499995316
BIER127;2-OPT;146588.99235850963;118282;2.0789300147106067;0.004385352000099374
BIER127;SimulatedAnnealing;146588.99235850963;118282;7.878629039076106;1.2937028129999817
BIER127;GSPH_FC;120143;118282;1.5733585837236435;1.1505228219994024
CH130;NearestNeighbour;7331;6110;19.98363338788871;0.004047510999953374
CH130;GeneticAlgorithm;15311.654747768765;6110;150.59991403876867;28.808259688999897
CH130;TabuSearch;19827.174909780006;6110;224.50368101112937;7.504593983999257
CH130;AntSystem1;7262.29679579426;6110;18.859194693850412;1.7772059410008296
CH130;AntSystem2;7097.323220616436;6110;16.15913618030173;1.876412015999449
CH130;AntSystem3;7784.665092479998;6110;27.40859398494268;1.8730265150006744
CH130;2-OPT;7784.665092479998;6110;2.635024549918167;0.005718714000067848
CH130;SimulatedAnnealing;7784.665092479998;6110;16.153846153846153;1.2260372280006777
CH130;GSPH_FC;6591;6110;7.872340425531915;0.231848297000397
CH150;NearestNeighbour;8031;6528;23.02389705882353;0.005695394000213128
CH150;GeneticAlgorithm;17838.40081222966;6528;173.25981636381215;35.25760186400021
CH150;TabuSearch;23835.28858157525;6528;265.1239059677581;11.441723840000122
CH150;AntSystem1;7521.417909943501;6528;15.217798865556087;2.5331159990000742
CH150;AntSystem2;7402.752802394439;6528;13.400012291581476;2.687929194999924
CH150;AntSystem3;9072.839998738717;6528;38.98345586303181;2.5470641430001706
CH150;2-OPT;9072.839998738717;6528;4.258578431372549;0.0055582539998795255
CH150;SimulatedAnnealing;9072.839998738717;6528;13.388480392156863;1.3946740000001228
CH150;GSPH_FC;7581;6528;16.130514705882355;0.3271681019996322
D198;NearestNeighbour;18698;15780;18.491761723700886;0.01667591200020979
D198;GeneticAlgorithm;64310.21728145016;15780;307.5425683235118;63.714931282999714
D198;TabuSearch;74327.11332899763;15780;371.0209970151941;26.31042726600026
D198;AntSystem1;18894.24919370392;15780;19.735419478478576;4.962065756999436
D198;AntSystem2;18437.11928628214;15780;16.838525261610524;5.025199493999935
D198;AntSystem3;20190.004268893616;15780;27.94679511339427;5.001006743999824
D198;2-OPT;20190.004268893616;15780;-6.761723700887198;0.01663513099992997
D198;SimulatedAnnealing;20190.004268893616;15780;12.281368821292777;1.8393034829996395
D198;GSPH_FC;12430;15780;-21.229404309252217;4.156944950000252
EIL51;NearestNeighbour;541;426;26.995305164319248;0.0003173000004608184
EIL51;GeneticAlgorithm;515.3880290387845;426;20.983105408165365;6.388592415999483
EIL51;TabuSearch;489.00121874740944;426;14.78901848530738;0.45559053999932075
EIL51;AntSystem1;472.95341643447415;426;11.02192874048689;0.20697364799980278
EIL51;AntSystem2;465.9246582622656;426;9.371985507574086;0.20934086399938678
EIL51;AntSystem3;507.90417277845756;426;19.22633163813558;0.20812694100004592
EIL51;2-OPT;507.90417277845756;426;-0.7042253521126761;0.0005825220005135634
EIL51;SimulatedAnnealing;507.90417277845756;426;8.450704225352112;0.5108804280007462
EIL51;GSPH_FC;436;426;2.3474178403755865;0.011969681000664423
EIL76;NearestNeighbour;704;538;30.855018587360593;0.0009202719993481878
EIL76;GeneticAlgorithm;801.7547239574276;538;49.02504162777465;12.231884417999936
EIL76;TabuSearch;822.9395600895716;538;52.962743511072794;1.4929689460004738
EIL76;AntSystem1;592.5423573247833;538;10.137984632859354;0.5197088099994289
EIL76;AntSystem2;598.1812775583431;538;11.186111070324003;0.5276522999993176
EIL76;AntSystem3;629.5835745830057;538;17.022969253346776;0.5051109740006723
EIL76;2-OPT;629.5835745830057;538;2.41635687732342;0.00131097299981775
